6677.6s 1 
6677.6s 2 This could be a false alarm, with some parameters getting used by language bindings but
6677.6s 3 then being mistakenly passed down to XGBoost core, or some parameter actually being used
6677.6s 4 but getting flagged wrongly here. Please open an issue if you find any such cases.
6677.6s 5 
6677.6s 6 
6677.6s 7 /opt/conda/lib/python3.7/site-packages/xgboost/sklearn.py:797: UserWarning: `eval_metric` in `fit` method is deprecated for better compatibility with scikit-learn, use `eval_metric` in constructor or`set_params` instead.
6677.6s 8 UserWarning,
6677.6s 9 [0]	validation_0-mlogloss:1.70836
6683.6s 58 [49]	validation_0-mlogloss:1.00598
6683.7s 59 [50]	validation_0-mlogloss:1.00201
6683.8s 60 [51]	validation_0-mlogloss:0.99815
6683.9s 61 [52]	validation_0-mlogloss:0.99440
6684.0s 62 [53]	validation_0-mlogloss:0.99075
6684.1s 63 [54]	validation_0-mlogloss:0.98721
6684.2s 64 [55]	validation_0-mlogloss:0.98377
6684.3s 65 [56]	validation_0-mlogloss:0.98042
6684.5s 66 [57]	validation_0-mlogloss:0.97717
6684.6s 67 [58]	validation_0-mlogloss:0.97400
6684.7s 68 [59]	validation_0-mlogloss:0.97091
6684.8s 69 [60]	validation_0-mlogloss:0.96791
6684.9s 70 [61]	validation_0-mlogloss:0.96499
6685.1s 71 [62]	validation_0-mlogloss:0.96214
6685.2s 72 [63]	validation_0-mlogloss:0.95936
6685.3s 73 [64]	validation_0-mlogloss:0.95666
6685.4s 74 [65]	validation_0-mlogloss:0.95402
6685.5s 75 [66]	validation_0-mlogloss:0.95145
6685.6s 76 [67]	validation_0-mlogloss:0.94894
6685.8s 77 [68]	validation_0-mlogloss:0.94649
6685.9s 78 [69]	validation_0-mlogloss:0.94410
6686.0s 79 [70]	validation_0-mlogloss:0.94177
6686.1s 80 [71]	validation_0-mlogloss:0.93949
6686.2s 81 [72]	validation_0-mlogloss:0.93727
6686.3s 82 [73]	validation_0-mlogloss:0.93510
6686.4s 83 [74]	validation_0-mlogloss:0.93297
6686.6s 84 [75]	validation_0-mlogloss:0.93090
6686.7s 85 [76]	validation_0-mlogloss:0.92887
6686.8s 86 [77]	validation_0-mlogloss:0.92688
6686.9s 87 [78]	validation_0-mlogloss:0.92494
6687.0s 88 [79]	validation_0-mlogloss:0.92304
6687.1s 89 [80]	validation_0-mlogloss:0.92117
6687.3s 90 [81]	validation_0-mlogloss:0.91935
6687.4s 91 [82]	validation_0-mlogloss:0.91757
6687.5s 92 [83]	validation_0-mlogloss:0.91582
6687.6s 93 [84]	validation_0-mlogloss:0.91410
6687.7s 94 [85]	validation_0-mlogloss:0.91242
6687.8s 95 [86]	validation_0-mlogloss:0.91077
6688.0s 96 [87]	validation_0-mlogloss:0.90916
6688.1s 97 [88]	validation_0-mlogloss:0.90757
6688.2s 98 [89]	validation_0-mlogloss:0.90602
6688.4s 99 [90]	validation_0-mlogloss:0.90449
6688.5s 100 [91]	validation_0-mlogloss:0.90299
6688.6s 101 [92]	validation_0-mlogloss:0.90152
6688.8s 102 [93]	validation_0-mlogloss:0.90007
6688.9s 103 [94]	validation_0-mlogloss:0.89865
6689.1s 104 [95]	validation_0-mlogloss:0.89726
6689.2s 105 [96]	validation_0-mlogloss:0.89589
6689.3s 106 [97]	validation_0-mlogloss:0.89454
6689.5s 107 [98]	validation_0-mlogloss:0.89322
6689.6s 108 [99]	validation_0-mlogloss:0.89192
6689.7s 109 [100]	validation_0-mlogloss:0.89063
6689.9s 110 [101]	validation_0-mlogloss:0.88937
6690.0s 111 [102]	validation_0-mlogloss:0.88813
6690.1s 112 [103]	validation_0-mlogloss:0.88691
6690.3s 113 [104]	validation_0-mlogloss:0.88571
6690.4s 114 [105]	validation_0-mlogloss:0.88453
6690.5s 115 [106]	validation_0-mlogloss:0.88337
6690.7s 116 [107]	validation_0-mlogloss:0.88222
6690.8s 117 [108]	validation_0-mlogloss:0.88109
6690.9s 118 [109]	validation_0-mlogloss:0.87998
6691.2s 119 [110]	validation_0-mlogloss:0.87889
6691.5s 120 [111]	validation_0-mlogloss:0.87781
6692.0s 121 [112]	validation_0-mlogloss:0.87674
6692.5s 122 [113]	validation_0-mlogloss:0.87570
6692.6s 123 [114]	validation_0-mlogloss:0.87466
6692.7s 124 [115]	validation_0-mlogloss:0.87364
6692.8s 125 [116]	validation_0-mlogloss:0.87264
6692.9s 126 [117]	validation_0-mlogloss:0.87165
6693.1s 127 [118]	validation_0-mlogloss:0.87067
6693.2s 128 [119]	validation_0-mlogloss:0.86971
6693.3s 129 [120]	validation_0-mlogloss:0.86876
6693.4s 130 [121]	validation_0-mlogloss:0.86782
6693.5s 131 [122]	validation_0-mlogloss:0.86690
6693.6s 132 [123]	validation_0-mlogloss:0.86598
6693.7s 133 [124]	validation_0-mlogloss:0.86508
6693.9s 134 [125]	validation_0-mlogloss:0.86419
6694.0s 135 [126]	validation_0-mlogloss:0.86332
6694.1s 136 [127]	validation_0-mlogloss:0.86245
6694.2s 137 [128]	validation_0-mlogloss:0.86159
6694.3s 138 [129]	validation_0-mlogloss:0.86075
6694.4s 139 [130]	validation_0-mlogloss:0.85992
6694.5s 140 [131]	validation_0-mlogloss:0.85909
6694.7s 141 [132]	validation_0-mlogloss:0.85828
6694.8s 142 [133]	validation_0-mlogloss:0.85748
6694.9s 143 [134]	validation_0-mlogloss:0.85668
6695.0s 144 [135]	validation_0-mlogloss:0.85590
6695.1s 145 [136]	validation_0-mlogloss:0.85512
6695.2s 146 [137]	validation_0-mlogloss:0.85436
6695.4s 147 [138]	validation_0-mlogloss:0.85360
6695.5s 148 [139]	validation_0-mlogloss:0.85285
6695.6s 149 [140]	validation_0-mlogloss:0.85212
6695.7s 150 [141]	validation_0-mlogloss:0.85139
6695.8s 151 [142]	validation_0-mlogloss:0.85066
6695.9s 152 [143]	validation_0-mlogloss:0.84995
6696.0s 153 [144]	validation_0-mlogloss:0.84925
6696.2s 154 [145]	validation_0-mlogloss:0.84855
6696.3s 155 [146]	validation_0-mlogloss:0.84786
6696.4s 156 [147]	validation_0-mlogloss:0.84718
6696.5s 157 [148]	validation_0-mlogloss:0.84650
6696.6s 158 [149]	validation_0-mlogloss:0.84584
6696.7s 159 [150]	validation_0-mlogloss:0.84518
6696.8s 160 [151]	validation_0-mlogloss:0.84453
6697.0s 161 [152]	validation_0-mlogloss:0.84388
6697.1s 162 [153]	validation_0-mlogloss:0.84325
6697.2s 163 [154]	validation_0-mlogloss:0.84262
6697.3s 164 [155]	validation_0-mlogloss:0.84199
6697.4s 165 [156]	validation_0-mlogloss:0.84138
6697.5s 166 [157]	validation_0-mlogloss:0.84077
6697.7s 167 [158]	validation_0-mlogloss:0.84016
6697.8s 168 [159]	validation_0-mlogloss:0.83956
6697.9s 169 [160]	validation_0-mlogloss:0.83897
6698.0s 170 [161]	validation_0-mlogloss:0.83839
6698.1s 171 [162]	validation_0-mlogloss:0.83781
6698.2s 172 [163]	validation_0-mlogloss:0.83724
6698.4s 173 [164]	validation_0-mlogloss:0.83667
6698.5s 174 [165]	validation_0-mlogloss:0.83611
6698.6s 175 [166]	validation_0-mlogloss:0.83556
6698.7s 176 [167]	validation_0-mlogloss:0.83501
6698.8s 177 [168]	validation_0-mlogloss:0.83446
6698.9s 178 [169]	validation_0-mlogloss:0.83392
6699.0s 179 [170]	validation_0-mlogloss:0.83339
6699.2s 180 [171]	validation_0-mlogloss:0.83286
6699.3s 181 [172]	validation_0-mlogloss:0.83234
6699.4s 182 [173]	validation_0-mlogloss:0.83183
6699.5s 183 [174]	validation_0-mlogloss:0.83131
6699.6s 184 [175]	validation_0-mlogloss:0.83081
6699.7s 185 [176]	validation_0-mlogloss:0.83031
6699.8s 186 [177]	validation_0-mlogloss:0.82981
6700.0s 187 [178]	validation_0-mlogloss:0.82932
6700.1s 188 [179]	validation_0-mlogloss:0.82883
6700.2s 189 [180]	validation_0-mlogloss:0.82835
6700.3s 190 [181]	validation_0-mlogloss:0.82787
6700.4s 191 [182]	validation_0-mlogloss:0.82740
6700.5s 192 [183]	validation_0-mlogloss:0.82693
6700.7s 193 [184]	validation_0-mlogloss:0.82647
6700.8s 194 [185]	validation_0-mlogloss:0.82601
6700.9s 195 [186]	validation_0-mlogloss:0.82555
6701.0s 196 [187]	validation_0-mlogloss:0.82510
6701.1s 197 [188]	validation_0-mlogloss:0.82465
6701.3s 198 [189]	validation_0-mlogloss:0.82421
6701.4s 199 [190]	validation_0-mlogloss:0.82377
6701.5s 200 [191]	validation_0-mlogloss:0.82334
6701.6s 201 [192]	validation_0-mlogloss:0.82291
6701.7s 202 [193]	validation_0-mlogloss:0.82248
6701.8s 203 [194]	validation_0-mlogloss:0.82206
6702.0s 204 [195]	validation_0-mlogloss:0.82164
6702.2s 205 [196]	validation_0-mlogloss:0.82123
6702.4s 206 [197]	validation_0-mlogloss:0.82082
6702.6s 207 [198]	validation_0-mlogloss:0.82041
6702.8s 208 [199]	validation_0-mlogloss:0.82001
6702.8s 209 [32m[I 2022-06-15 17:54:30,278][0m Trial 7 finished with value: 0.646804835924007 and parameters: {'xgb_est': 200, 'xgb_lr': 0.01, 'xgb_booster': 'gblinear'}. Best is trial 4 with value: 0.7780656303972366.[0m
6702.8s 210 precision    recall  f1-score   support
6702.8s 211 
6702.8s 212 0       0.81      1.00      0.89       413
6702.8s 213 1       0.41      0.32      0.36       413
6702.8s 214 2       0.56      0.73      0.64       411
6702.8s 215 3       1.00      1.00      1.00       389
6702.8s 216 4       0.40      0.39      0.40       380
6702.8s 217 5       0.59      0.38      0.46       310
6702.8s 218 
6702.8s 219 accuracy                           0.65      2316
6702.8s 220 macro avg       0.63      0.64      0.62      2316
6702.8s 221 weighted avg       0.63      0.65      0.63      2316
6702.8s 222 
6702.8s 223 (44004, 75)
6702.8s 224 (44004,)
6702.8s 225 (2316, 75)
6702.8s 226 (2316,)
6703.0s 227 [17:54:30] WARNING: ../src/learner.cc:627:
6703.0s 228 Parameters: { "predictor", "tree_method" } might not be used.
6703.0s 229 
6703.0s 230 This could be a false alarm, with some parameters getting used by language bindings but
6703.0s 231 then being mistakenly passed down to XGBoost core, or some parameter actually being used
6703.0s 232 but getting flagged wrongly here. Please open an issue if you find any such cases.
6703.0s 233 
6703.0s 234 
6703.0s 235 /opt/conda/lib/python3.7/site-packages/xgboost/sklearn.py:797: UserWarning: `eval_metric` in `fit` method is deprecated for better compatibility with scikit-learn, use `eval_metric` in constructor or`set_params` instead.
6703.0s 236 UserWarning,
6703.0s 237 [0]	validation_0-mlogloss:1.38394
6703.2s 238 [1]	validation_0-mlogloss:1.24399
6703.3s 239 [2]	validation_0-mlogloss:1.15052
6703.4s 240 [3]	validation_0-mlogloss:1.08466
6703.5s 241 [4]	validation_0-mlogloss:1.03582
6703.6s 242 [5]	validation_0-mlogloss:0.99827
6703.7s 243 [6]	validation_0-mlogloss:0.96860
6703.8s 244 [7]	validation_0-mlogloss:0.94464
6703.9s 245 [8]	validation_0-mlogloss:0.92494
6704.1s 246 [9]	validation_0-mlogloss:0.90850
6704.2s 247 [10]	validation_0-mlogloss:0.89458
6704.3s 248 [11]	validation_0-mlogloss:0.88265
6704.4s 249 [12]	validation_0-mlogloss:0.87234
6704.5s 250 [13]	validation_0-mlogloss:0.86333
6704.6s 251 [14]	validation_0-mlogloss:0.85539
6704.7s 252 [15]	validation_0-mlogloss:0.84834
6704.8s 253 [16]	validation_0-mlogloss:0.84205
6705.0s 254 [17]	validation_0-mlogloss:0.83639
6705.1s 255 [18]	validation_0-mlogloss:0.83128
6705.2s 256 [19]	validation_0-mlogloss:0.82665
6705.3s 257 [20]	validation_0-mlogloss:0.82242
6705.4s 258 [21]	validation_0-mlogloss:0.81856
6705.5s 259 [22]	validation_0-mlogloss:0.81502
6705.7s 260 [23]	validation_0-mlogloss:0.81175
6705.8s 261 [24]	validation_0-mlogloss:0.80872
6705.9s 262 [25]	validation_0-mlogloss:0.80592
6706.0s 263 [26]	validation_0-mlogloss:0.80331
6706.1s 264 [27]	validation_0-mlogloss:0.80088
6706.2s 265 [28]	validation_0-mlogloss:0.79861
6706.4s 266 [29]	validation_0-mlogloss:0.79647
6706.5s 267 [30]	validation_0-mlogloss:0.79446
6706.6s 268 [31]	validation_0-mlogloss:0.79257
6706.7s 269 [32]	validation_0-mlogloss:0.79078
6706.8s 270 [33]	validation_0-mlogloss:0.78909
6709.1s 271 [34]	validation_0-mlogloss:0.78749
6709.1s 272 [35]	validation_0-mlogloss:0.78597
6709.1s 273 [36]	validation_0-mlogloss:0.78452
6709.1s 274 [37]	validation_0-mlogloss:0.78315
6709.1s 275 [38]	validation_0-mlogloss:0.78182
6709.2s 276 [39]	validation_0-mlogloss:0.78057
6709.2s 277 [40]	validation_0-mlogloss:0.77937
6709.2s 278 [41]	validation_0-mlogloss:0.77821
6709.2s 279 [42]	validation_0-mlogloss:0.77712
6709.2s 280 [43]	validation_0-mlogloss:0.77606
6709.2s 281 [44]	validation_0-mlogloss:0.77506
6709.2s 282 [45]	validation_0-mlogloss:0.77408
6709.3s 283 [46]	validation_0-mlogloss:0.77314
6709.4s 284 [47]	validation_0-mlogloss:0.77224
6709.5s 285 [48]	validation_0-mlogloss:0.77136
6709.6s 286 [49]	validation_0-mlogloss:0.77052
6709.7s 287 [50]	validation_0-mlogloss:0.76970
6709.8s 288 [51]	validation_0-mlogloss:0.76891
6710.0s 289 [52]	validation_0-mlogloss:0.76814
6710.1s 290 [53]	validation_0-mlogloss:0.76738
6710.2s 291 [54]	validation_0-mlogloss:0.76665
6710.3s 292 [55]	validation_0-mlogloss:0.76594
6710.4s 293 [56]	validation_0-mlogloss:0.76524
6710.5s 294 [57]	validation_0-mlogloss:0.76457
6710.7s 295 [58]	validation_0-mlogloss:0.76391
6710.8s 296 [59]	validation_0-mlogloss:0.76327
6710.9s 297 [60]	validation_0-mlogloss:0.76265
6711.0s 298 [61]	validation_0-mlogloss:0.76205
6711.1s 299 [62]	validation_0-mlogloss:0.76146
6711.2s 300 [63]	validation_0-mlogloss:0.76089
6711.4s 301 [64]	validation_0-mlogloss:0.76033
6711.5s 302 [65]	validation_0-mlogloss:0.75978
6711.6s 303 [66]	validation_0-mlogloss:0.75924
6711.7s 304 [67]	validation_0-mlogloss:0.75872
6711.8s 305 [68]	validation_0-mlogloss:0.75820
6712.0s 306 [69]	validation_0-mlogloss:0.75769
6712.1s 307 [70]	validation_0-mlogloss:0.75718
6712.2s 308 [71]	validation_0-mlogloss:0.75668
6712.3s 309 [72]	validation_0-mlogloss:0.75619
6712.4s 310 [73]	validation_0-mlogloss:0.75571
6712.5s 311 [74]	validation_0-mlogloss:0.75524
6712.6s 312 [75]	validation_0-mlogloss:0.75478
6712.8s 313 [76]	validation_0-mlogloss:0.75433
6712.9s 314 [77]	validation_0-mlogloss:0.75390
6713.0s 315 [78]	validation_0-mlogloss:0.75347
6713.3s 316 [79]	validation_0-mlogloss:0.75306
6713.5s 317 [80]	validation_0-mlogloss:0.75265
6713.6s 318 [81]	validation_0-mlogloss:0.75225
6713.8s 319 [82]	validation_0-mlogloss:0.75188
6713.9s 320 [83]	validation_0-mlogloss:0.75151
6714.0s 321 [84]	validation_0-mlogloss:0.75115
6714.1s 322 [85]	validation_0-mlogloss:0.75080
6714.3s 323 [86]	validation_0-mlogloss:0.75046
6714.4s 324 [87]	validation_0-mlogloss:0.75013
6714.5s 325 [88]	validation_0-mlogloss:0.74980
6714.6s 326 [89]	validation_0-mlogloss:0.74949
6714.7s 327 [90]	validation_0-mlogloss:0.74918
6714.8s 328 [91]	validation_0-mlogloss:0.74888
6714.9s 329 [92]	validation_0-mlogloss:0.74858
6715.1s 330 [93]	validation_0-mlogloss:0.74829
6715.2s 331 [94]	validation_0-mlogloss:0.74801
6715.3s 332 [95]	validation_0-mlogloss:0.74773
6715.4s 333 [96]	validation_0-mlogloss:0.74746
6715.5s 334 [97]	validation_0-mlogloss:0.74720
6715.6s 335 [98]	validation_0-mlogloss:0.74694
6715.7s 336 [99]	validation_0-mlogloss:0.74668
6715.8s 337 [32m[I 2022-06-15 17:54:43,236][0m Trial 8 finished with value: 0.6791882556131261 and parameters: {'xgb_est': 100, 'xgb_lr': 0.1, 'xgb_booster': 'gblinear'}. Best is trial 4 with value: 0.7780656303972366.[0m
6715.8s 338 precision    recall  f1-score   support
6715.8s 339 
6715.8s 340 0       0.92      1.00      0.96       413
6715.8s 341 1       0.42      0.39      0.41       413
6715.8s 342 2       0.63      0.78      0.70       411
6715.8s 343 3       1.00      1.00      1.00       389
6715.8s 344 4       0.41      0.37      0.39       380
6715.8s 345 5       0.63      0.47      0.54       310
6715.8s 346 
6715.8s 347 accuracy                           0.68      2316
6715.8s 348 macro avg       0.67      0.67      0.66      2316
6715.8s 349 weighted avg       0.67      0.68      0.67      2316
6715.8s 350 
6715.8s 351 (44004, 75)
6715.8s 352 (44004,)
6715.8s 353 (2316, 75)
6715.8s 354 (2316,)
6715.9s 355 [0]	validation_0-mlogloss:1.63593
6716.0s 356 [1]	validation_0-mlogloss:1.51549
6716.0s 357 /opt/conda/lib/python3.7/site-packages/xgboost/sklearn.py:797: UserWarning: `eval_metric` in `fit` method is deprecated for better compatibility with scikit-learn, use `eval_metric` in constructor or`set_params` instead.
6716.0s 358 UserWarning,
6716.0s 359 [2]	validation_0-mlogloss:1.41681
6716.0s 360 [3]	validation_0-mlogloss:1.33329
6716.0s 361 [4]	validation_0-mlogloss:1.26264
6716.0s 362 [5]	validation_0-mlogloss:1.20128
6716.1s 363 [6]	validation_0-mlogloss:1.14691
6716.1s 364 [7]	validation_0-mlogloss:1.09939
6716.1s 365 [8]	validation_0-mlogloss:1.05741
6716.1s 366 [9]	validation_0-mlogloss:1.01892
6716.1s 367 [10]	validation_0-mlogloss:0.98501
6716.2s 368 [11]	validation_0-mlogloss:0.95323
6716.2s 369 [12]	validation_0-mlogloss:0.92339
6716.2s 370 [13]	validation_0-mlogloss:0.89727
6716.2s 371 [14]	validation_0-mlogloss:0.87362
6716.2s 372 [15]	validation_0-mlogloss:0.85157
6716.3s 373 [16]	validation_0-mlogloss:0.83161
6716.3s 374 [17]	validation_0-mlogloss:0.81254
6716.3s 375 [18]	validation_0-mlogloss:0.79590
6716.3s 376 [19]	validation_0-mlogloss:0.78080
6716.3s 377 [20]	validation_0-mlogloss:0.76633
6716.4s 378 [21]	validation_0-mlogloss:0.75324
6716.4s 379 [22]	validation_0-mlogloss:0.74085
6716.4s 380 [23]	validation_0-mlogloss:0.72997
6716.4s 381 [24]	validation_0-mlogloss:0.71980
6716.4s 382 [25]	validation_0-mlogloss:0.71010
6716.5s 383 [26]	validation_0-mlogloss:0.70125
6716.5s 384 [27]	validation_0-mlogloss:0.69325
6716.5s 385 [28]	validation_0-mlogloss:0.68532
6716.5s 386 [29]	validation_0-mlogloss:0.67795
6716.5s 387 [30]	validation_0-mlogloss:0.67030
6716.5s 388 [31]	validation_0-mlogloss:0.66276
6716.6s 389 [32]	validation_0-mlogloss:0.65620
6716.6s 390 [33]	validation_0-mlogloss:0.65017
6716.6s 391 [34]	validation_0-mlogloss:0.64438
6716.6s 392 [35]	validation_0-mlogloss:0.63895
6716.6s 393 [36]	validation_0-mlogloss:0.63405
6716.7s 394 [37]	validation_0-mlogloss:0.62825
6716.7s 395 [38]	validation_0-mlogloss:0.62401
6716.7s 396 [39]	validation_0-mlogloss:0.61888
6716.7s 397 [40]	validation_0-mlogloss:0.61413
6716.7s 398 [41]	validation_0-mlogloss:0.60978
6716.7s 399 [42]	validation_0-mlogloss:0.60526
6716.8s 400 [43]	validation_0-mlogloss:0.60137
6716.8s 401 [44]	validation_0-mlogloss:0.59760
6716.8s 402 [45]	validation_0-mlogloss:0.59409
6716.8s 403 [46]	validation_0-mlogloss:0.59094
6716.8s 404 [47]	validation_0-mlogloss:0.58748
6716.9s 405 [48]	validation_0-mlogloss:0.58509
6716.9s 406 [49]	validation_0-mlogloss:0.58196
6716.9s 407 [50]	validation_0-mlogloss:0.57945
6716.9s 408 [51]	validation_0-mlogloss:0.57673
6716.9s 409 [52]	validation_0-mlogloss:0.57359
6717.0s 410 [53]	validation_0-mlogloss:0.57171
6717.0s 411 [54]	validation_0-mlogloss:0.56956
6717.0s 412 [55]	validation_0-mlogloss:0.56669
6717.0s 413 [56]	validation_0-mlogloss:0.56506
6717.0s 414 [57]	validation_0-mlogloss:0.56253
6717.0s 415 [58]	validation_0-mlogloss:0.56043
6717.1s 416 [59]	validation_0-mlogloss:0.55849
6717.1s 417 [60]	validation_0-mlogloss:0.55677
6717.1s 418 [61]	validation_0-mlogloss:0.55508
6717.1s 419 [62]	validation_0-mlogloss:0.55311
6717.1s 420 [63]	validation_0-mlogloss:0.55166
6717.2s 421 [64]	validation_0-mlogloss:0.54971
6717.2s 422 [65]	validation_0-mlogloss:0.54757
6717.2s 423 [66]	validation_0-mlogloss:0.54562
6717.2s 424 [67]	validation_0-mlogloss:0.54398
6717.2s 425 [68]	validation_0-mlogloss:0.54235
6717.2s 426 [69]	validation_0-mlogloss:0.54054
6717.3s 427 [70]	validation_0-mlogloss:0.53885
6717.3s 428 [71]	validation_0-mlogloss:0.53714
6717.3s 429 [72]	validation_0-mlogloss:0.53584
6717.3s 430 [73]	validation_0-mlogloss:0.53410
6717.3s 431 [74]	validation_0-mlogloss:0.53290
6717.4s 432 [75]	validation_0-mlogloss:0.53165
6717.4s 433 [76]	validation_0-mlogloss:0.53043
6717.4s 434 [77]	validation_0-mlogloss:0.52903
6717.4s 435 [78]	validation_0-mlogloss:0.52774
6717.4s 436 [79]	validation_0-mlogloss:0.52645
6717.5s 437 [80]	validation_0-mlogloss:0.52536
6717.5s 438 [81]	validation_0-mlogloss:0.52406
6717.5s 439 [82]	validation_0-mlogloss:0.52313
6717.5s 440 [83]	validation_0-mlogloss:0.52184
6717.5s 441 [84]	validation_0-mlogloss:0.52059
6717.6s 442 [85]	validation_0-mlogloss:0.51974
6717.6s 443 [86]	validation_0-mlogloss:0.51868
6717.6s 444 [87]	validation_0-mlogloss:0.51701
6717.6s 445 [88]	validation_0-mlogloss:0.51620
6717.6s 446 [89]	validation_0-mlogloss:0.51506
6717.6s 447 [90]	validation_0-mlogloss:0.51406
6717.7s 448 [91]	validation_0-mlogloss:0.51320
6717.7s 449 [92]	validation_0-mlogloss:0.51239
6717.7s 450 [93]	validation_0-mlogloss:0.51166
6717.7s 451 [94]	validation_0-mlogloss:0.51098
6717.7s 452 [95]	validation_0-mlogloss:0.51021
6717.7s 453 [96]	validation_0-mlogloss:0.50974
6717.8s 454 [97]	validation_0-mlogloss:0.50857
6717.8s 455 [98]	validation_0-mlogloss:0.50732
6717.8s 456 [99]	validation_0-mlogloss:0.50629
6717.9s 457 [32m[I 2022-06-15 17:54:45,326][0m Trial 9 finished with value: 0.8009499136442142 and parameters: {'xgb_est': 100, 'xgb_lr': 0.1, 'xgb_booster': 'gbtree'}. Best is trial 9 with value: 0.8009499136442142.[0m
6717.9s 458 precision    recall  f1-score   support
6717.9s 459 
6717.9s 460 0       1.00      1.00      1.00       413
6717.9s 461 1       0.64      0.64      0.64       413
6717.9s 462 2       0.83      0.95      0.88       411
6717.9s 463 3       1.00      1.00      1.00       389
6717.9s 464 4       0.56      0.58      0.57       380
6717.9s 465 5       0.75      0.57      0.65       310
6717.9s 466 
6717.9s 467 accuracy                           0.80      2316
6717.9s 468 macro avg       0.80      0.79      0.79      2316
6717.9s 469 weighted avg       0.80      0.80      0.80      2316
6717.9s 470 
6717.9s 471 (44004, 75)
6717.9s 472 (44004,)
6717.9s 473 (2316, 75)
6717.9s 474 (2316,)
6718.0s 475 [0]	validation_0-mlogloss:1.63593
6718.0s 476 [1]	validation_0-mlogloss:1.51549
6718.1s 477 /opt/conda/lib/python3.7/site-packages/xgboost/sklearn.py:797: UserWarning: `eval_metric` in `fit` method is deprecated for better compatibility with scikit-learn, use `eval_metric` in constructor or`set_params` instead.
6718.1s 478 UserWarning,
6718.1s 479 [2]	validation_0-mlogloss:1.41681
6718.1s 480 [3]	validation_0-mlogloss:1.33329
6718.1s 481 [4]	validation_0-mlogloss:1.26264
6718.1s 482 [5]	validation_0-mlogloss:1.20128
6718.1s 483 [6]	validation_0-mlogloss:1.14691
6718.2s 484 [7]	validation_0-mlogloss:1.09939
6718.2s 485 [8]	validation_0-mlogloss:1.05741
6718.2s 486 [9]	validation_0-mlogloss:1.01892
6718.2s 487 [10]	validation_0-mlogloss:0.98501
6718.2s 488 [11]	validation_0-mlogloss:0.95323
6718.3s 489 [12]	validation_0-mlogloss:0.92339
